B-LOC,B-ORG,2,SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .,,,,,,,,,,
B-PER,B-ORG,7,SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .,,,,,,,,,,
O,B-MISC,9,SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .,,,,,,,,,,
O,B-MISC,18,Japan began the defence of their Asian Cup title with a lucky 2-1 win against Syria in a Group C championship match on Friday .,,,,,,,,,,,
O,I-MISC,19,Japan began the defence of their Asian Cup title with a lucky 2-1 win against Syria in a Group C championship match on Friday .,,,,,,,,,,,
B-MISC,B-ORG,16,China controlled most of the match and saw several chances missed until the 78th minute when Uzbek striker Igor Shkvyrin took advantage of a misdirected defensive header to lob the ball over the advancing Chinese keeper and into an empty net .,,,,,,,,,,,
B-PER,B-LOC,3,RUGBY UNION - CUTTITTA BACK FOR ITALY AFTER A YEAR .,,,,,,,,,,,
B-LOC,O,6,RUGBY UNION - CUTTITTA BACK FOR ITALY AFTER A YEAR .,,,,,,,,,,,
B-MISC,O,6,Cuttitta announced his retirement after the 1995 World Cup , where he took issue with being dropped from the Italy side that faced England in the pool stages .,,,,,,,,,,
I-MISC,B-MISC,7,Cuttitta announced his retirement after the 1995 World Cup , where he took issue with being dropped from the Italy side that faced England in the pool stages .,,,,,,,,,,
B-LOC,B-ORG,5,SOCCER - LATE GOALS GIVE JAPAN WIN OVER SYRIA .,,,,,,,,,,,
B-MISC,O,1,FREESTYLE SKIING-WORLD CUP MOGUL RESULTS .,,,,,,,,,,,
I-MISC,B-MISC,3,SOCCER - ENGLISH F.A. CUP SECOND ROUND RESULT .,,,,,,,,,,,
I-MISC,B-MISC,4,Result of an English F.A. Challenge,,,,,,,,,,,
B-PER,B-ORG,2,SOCCER - BLINKER BAN LIFTED .,,,,,,,,,,,
B-MISC,B-ORG,15,Blinker was fined 75,000 Swiss francs ( $ 57,600 ) for failing to inform the Engllsh club of his previous commitment to Udinese .,,,,,,,,,
B-PER,O,4,SOCCER - LEEDS ' BOWYER FINED FOR PART IN FAST-FOOD FRACAS .,,,,,,,,,,,
B-LOC,B-ORG,6,Bowyer , who moved to the Yorkshire club in August for 3.5 million pounds ( $ 5.8 million ) , was expected to play against Middlesbrough on Saturday .,,,,,,,,,
B-ORG,B-PER,0,Stefanel Milan ( Italy ) 9 6 3 15,,,,,,,,,,,
I-ORG,I-PER,1,Stefanel Milan ( Italy ) 9 6 3 15,,,,,,,,,,,
B-ORG,B-LOC,0,Ljubljana ( Slovenia ) 9 6 3 15,,,,,,,,,,,
B-ORG,B-LOC,0,Split ( Croatia ) 9 4 5 13,,,,,,,,,,,
B-PER,B-LOC,3,RUGBY UNION - LITTLE TO MISS CAMPESE FAREWELL .,,,,,,,,,,,
O,B-LOC,5,RUGBY UNION - LITTLE TO MISS CAMPESE FAREWELL .,,,,,,,,,,,
B-PER,O,6,RUGBY UNION - LITTLE TO MISS CAMPESE FAREWELL .,,,,,,,,,,,
B-MISC,B-ORG,26,Little has opted not to risk aggravating the knee injury which ruled him out of a large chunk of the tour and is replaced by fellow Queenslander Daniel Herbert .,,,,,,,,,,,
B-LOC,B-ORG,36," Campo has a massive following in this country and has had the public with him ever since he first played here in 1984 ,  said Andrew ", also likely to be making his final Twickenham appearance .,,,,,,,,,,
B-LOC,B-ORG,79,Barbarians - 15 - Tim Stimpson ( England ) ; 14 - Nigel Walker ( Wales ) , 13 - Allan Bateman ( Wales ) , 12 - Gregor Townsend ( Scotland ) , 11 - Tony Underwood ( England ) ; 10 - Rob Andrew ( England ) , 9 - Rob Howley ( Wales ) ; 8 - Scott Quinnell ( Wales ) , 7 - Neil Back ( England ) , 6 - Dale McIntosh ( Pontypridd ) , 5 - Ian Jones ( New Zealand ) , 4 - Craig Quinnell ( Wales ) , 3 - Darren Garforth ( Leicester ) , 2 - Norm Hewitt ( New Zealand ) , 1 - Nick Popplewell ( Ireland ) .
B-LOC,B-ORG,104,Barbarians - 15 - Tim Stimpson ( England ) ; 14 - Nigel Walker ( Wales ) , 13 - Allan Bateman ( Wales ) , 12 - Gregor Townsend ( Scotland ) , 11 - Tony Underwood ( England ) ; 10 - Rob Andrew ( England ) , 9 - Rob Howley ( Wales ) ; 8 - Scott Quinnell ( Wales ) , 7 - Neil Back ( England ) , 6 - Dale McIntosh ( Pontypridd ) , 5 - Ian Jones ( New Zealand ) , 4 - Craig Quinnell ( Wales ) , 3 - Darren Garforth ( Leicester ) , 2 - Norm Hewitt ( New Zealand ) , 1 - Nick Popplewell ( Ireland ) .
B-MISC,B-LOC,2,GOLF - ZIMBABWE OPEN SECOND ROUND SCORES .,,,,,,,,,,,
I-MISC,O,3,GOLF - ZIMBABWE OPEN SECOND ROUND SCORES .,,,,,,,,,,,
B-LOC,B-ORG,11,Leading second round scores in the Zimbabwe Open at the par-72 Chapman Golf Club on Friday ( South African unless stated ) : 132 Des Terblanche 65 67 133 Mark McNulty ( Zimbabwe ) 72 61 134 Steve van Vuuren 65 69 136 Nick Price ( Zimbabwe ) 68 68 , Justin Hobday 71 65 ,,,,,,,,,,
B-PER,B-ORG,0,Botes 72 68 , Greg Reid 72 68 , Clinton Whitelaw 70,,,,,,,,,
O,B-ORG,2,SOCCER - UNCAPPED PLAYERS CALLED TO FACE MACEDONIA .,,,,,,,,,,,
I-ORG,I-PER,9,Midfielder Valentin Stefan and striker Viorel Ion of Otelul Galati and defender Liviu Ciobotariu of National Bucharest are the newcomers for the European group eight clash in Macedonia on December 14 .,,,,,,,,,,,
B-ORG,B-PER,0,REUTER,,,,,,,,,,,
B-PER,B-ORG,2,CRICKET - LARA ENDURES ANOTHER MISERABLE DAY .,,,,,,,,,,,
O,B-MISC,0,All-rounder Greg Blewett steered his side to a comfortable victory with an unbeaten 57 in 90 balls to the delight of the 42,442 crowd .,,,,,,,,,,
B-PER,B-ORG,2,He ( Lara ) had told Australia coach Geoff Marsh that wicketkeeper Ian Healy was unwelcome in the visitors ' dressing room .,,,,,,,,,,,
I-LOC,O,5,CRICKET - AUSTRALIA V WEST INDIES WORLD SERIES SCOREBOARD .,,,,,,,,,,,
B-MISC,O,6,CRICKET - AUSTRALIA V WEST INDIES WORLD SERIES SCOREBOARD .,,,,,,,,,,,
I-MISC,O,7,CRICKET - AUSTRALIA V WEST INDIES WORLD SERIES SCOREBOARD .,,,,,,,,,,,
B-PER,B-ORG,3,R. Ponting lbw McLean 5,,,,,,,,,,,
B-MISC,B-LOC,2,CRICKET - SHEFFIELD SHIELD SCORE .,,,,,,,,,,,
I-MISC,O,3,CRICKET - SHEFFIELD SHIELD SCORE .,,,,,,,,,,,
B-MISC,B-ORG,8,Score on the first day of the four-day Sheffield Shield match between Tasmania and Victoria at Bellerive Oval on Friday :,,,,,,,,,,,
I-MISC,I-ORG,9,Score on the first day of the four-day Sheffield Shield match between Tasmania and Victoria at Bellerive Oval on Friday :,,,,,,,,,,,
B-LOC,B-ORG,12,Score on the first day of the four-day Sheffield Shield match between Tasmania and Victoria at Bellerive Oval on Friday :,,,,,,,,,,,
B-LOC,B-ORG,14,Score on the first day of the four-day Sheffield Shield match between Tasmania and Victoria at Bellerive Oval on Friday :,,,,,,,,,,,
B-LOC,B-ORG,0,Tasmania 352 for three ( David Boon 106 not out , Shaun Young 86 not out , Michael DiVenuto 119 ) v Victoria .,,,,,,,,,
B-PER,B-ORG,2,CRICKET - LARA SUFFERS MORE AUSTRALIAN TOUR MISERY .,,,,,,,,,,,
O,B-MISC,5,CRICKET - LARA SUFFERS MORE AUSTRALIAN TOUR MISERY .,,,,,,,,,,,
O,B-MISC,6,CRICKET - LARA SUFFERS MORE AUSTRALIAN TOUR MISERY .,,,,,,,,,,,
I-LOC,O,3,CRICKET - WEST INDIES TO BAT AFTER WINNING THE TOSS .,,,,,,,,,,,
O,I-LOC,28,West Indies captain Courtney Walsh elected to bat after winning the toss in the first match in the World Series limited overs competition against Australia at the Melbourne Cricket Ground on Friday .,,,,,,,,,,,
O,I-LOC,29,West Indies captain Courtney Walsh elected to bat after winning the toss in the first match in the World Series limited overs competition against Australia at the Melbourne Cricket Ground on Friday .,,,,,,,,,,,
B-MISC,B-PER,2,SOCCER - ARAB CONTRACTORS WIN AFRICAN CUP WINNERS ' CUP .,,,,,,,,,,,
I-MISC,O,7,SOCCER - ARAB CONTRACTORS WIN AFRICAN CUP WINNERS ' CUP .,,,,,,,,,,,
O,B-ORG,0,Contractors won 4-0 on aggregate .,,,,,,,,,,,
B-ORG,O,0,League teams after games played on Thursday ( tabulate under,,,,,,,,,,,
O,B-ORG,0,EASTERN CONFERENCE,,,,,,,,,,,
O,B-MISC,0,NORTHEAST DIVISION,,,,,,,,,,,
B-LOC,B-MISC,0,ATLANTIC DIVISION,,,,,,,,,,,
O,I-MISC,1,ATLANTIC DIVISION,,,,,,,,,,,
O,B-ORG,0,WESTERN CONFERENCE,,,,,,,,,,,
B-LOC,B-MISC,0,PACIFIC DIVISION,,,,,,,,,,,
O,I-MISC,1,PACIFIC DIVISION,,,,,,,,,,,
O,B-ORG,2,FRIDAY , DECEMBER 6,,,,,,,,,,
B-ORG,B-LOC,2,TORONTO AT NY RANGERS,,,,,,,,,,,
I-ORG,I-LOC,3,TORONTO AT NY RANGERS,,,,,,,,,,,
B-ORG,B-MISC,2,Results of National Hockey,,,,,,,,,,,
I-ORG,I-MISC,3,Results of National Hockey,,,,,,,,,,,
B-ORG,O,0,League games on Thursday ( home team in CAPS ) :,,,,,,,,,,,
B-ORG,B-MISC,0,NFL AMERICAN FOOTBALL-COLTS CLOBBER EAGLES TO STAY IN PLAYOFF HUNT .,,,,,,,,,,,
O,I-MISC,1,NFL AMERICAN FOOTBALL-COLTS CLOBBER EAGLES TO STAY IN PLAYOFF HUNT .,,,,,,,,,,,
B-ORG,O,4,NFL AMERICAN FOOTBALL-COLTS CLOBBER EAGLES TO STAY IN PLAYOFF HUNT .,,,,,,,,,,,
O,B-ORG,13,The injury-plagued Indianapolis Colts lost another quarterback on Thursday but last year 's AFC finalists rallied together to shoot down the Philadelphia Eagles 37-10 in a showdown of playoff contenders .,,,,,,,,,,,
O,B-MISC,6,Philadelphia , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona .,,,,,,,,,
O,I-MISC,7,Philadelphia , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona .,,,,,,,,,
